niv_TAM,x,Wx,Ø,W
FUT,-0.06,0.06,-0.01,0.0
PRES,0.11,-0.06,0.01,-0.05
IMPV do not,0.17,0.08,-0.16,-0.09
MOD may,-0.16,-0.1,0.07,0.2
IMPV,-0.04,0.06,0.01,-0.02
MOD let,-0.37,-0.16,0.32,0.21
PAST,-0.09,-0.01,0.12,-0.02
MOD can,0.09,0.04,-0.13,0.0
MOD must,0.04,0.04,-0.01,-0.07
MOD is to,0.11,0.01,-0.05,-0.08
TO INF,-0.14,-0.04,-0.05,0.23
PRES PART,-0.02,0.03,0.0,-0.01
MOD would,-0.0,-0.05,0.02,0.03
PRES do not,0.01,0.23,-0.15,-0.09
MOD shall,0.14,-0.02,-0.04,-0.08
PRES PERF,0.1,-0.11,0.02,-0.01
MOD should,0.19,-0.05,-0.11,-0.03
FUT question,0.22,-0.14,-0.02,-0.06
PRES wh-question,0.13,-0.03,-0.08,-0.02
PRES question,0.13,-0.02,-0.05,-0.06
MOD could,0.11,0.04,-0.13,-0.02
MOD quest can,0.3,-0.18,-0.07,-0.05
MOD might,0.15,-0.14,-0.02,0.01
MOD quest should,0.35,-0.18,-0.09,-0.09
PAST did not,-0.25,0.49,-0.16,-0.09
MOD quest shall,0.33,-0.2,-0.04,-0.09
PRES PROG,0.14,-0.04,-0.05,-0.04
FUT wh-question,-0.04,0.13,-0.1,0.02
MOD was to,0.21,-0.08,-0.1,-0.03
MOD quest would,0.25,-0.18,-0.04,-0.03
PAST PERF,-0.16,0.11,0.08,-0.03
FUT going-to,0.3,-0.24,-0.15,0.1
MOD lest,0.3,-0.24,-0.15,0.09
PAST PROG,-0.07,0.31,-0.15,-0.09
HAB used to,0.15,0.09,-0.15,-0.09
MOD VB,-0.01,0.26,-0.15,-0.09
PRES do-support,-0.18,0.26,0.01,-0.09
PRES PERF wh-question,0.49,-0.24,-0.15,-0.09
PAST wh-question,-0.18,0.26,-0.15,0.08
PRES PERF question,-0.11,0.16,0.05,-0.09
MOD need not,-0.11,0.16,0.05,-0.09
MOD quest must,-0.26,0.26,0.1,-0.09
MOD that be,-0.51,0.42,-0.15,0.25
PAST question,0.15,0.09,-0.15,-0.09
MOD quest could,-0.18,0.09,0.18,-0.09
FUT PROG,0.15,-0.24,0.18,-0.09
FUT PERF,-0.51,0.26,0.35,-0.09
JJ,-0.51,-0.24,-0.15,0.91
PAST do-support,-0.51,0.76,-0.15,-0.09
VB,-0.51,-0.24,-0.15,0.91
