,sum
PRES,0.43
PAST,0.21
PRES PART,0.09
PRES PROG,0.06
PAST PROG,0.04
FUT,0.04
PRES PERF,0.02
MOD shall,0.02
TO INF,0.02
PAST PERF,0.01
PRES question,0.01
PRES wh-question,0.01
PRES do not,0.0
MOD is to,0.0
MOD could,0.0
MOD may,0.0
MOD should,0.0
MOD can,0.0
IMPV,0.0
PRES PERF PROG,0.0
MOD would,0.0
MOD was to,0.0
PAST did not,0.0
MOD let,0.0
FUT question,0.0
MOD must,0.0
PRES PERF question,0.0
FUT going-to,0.0
FUT wh-question,0.0
PAST PROG keep,0.0
VB,0.0
PRES PROG keep,0.0
IMPV do not,0.0
PRES PERF wh-question,0.0
MOD quest shall,0.0
MOD quest should,0.0
MOD that VB,0.0
PAST wh-question,0.0
MOD quest would,0.0
HAB used to,0.0
PAST PERF PROG,0.0
MOD might,0.0
