eng_TAMsimp,Ø,ptcp,wayq,yqtl,qtl,wqtl,impv,infc,jussF,infa,cohoF
PRES,0.36,0.19,0.04,0.2,0.09,0.04,0.04,0.03,0.0,0.0,0.0
PAST,0.34,0.15,0.29,0.03,0.13,0.02,0.01,0.02,0.0,0.0,0.0
PRES PART,0.3,0.21,0.21,0.09,0.13,0.04,0.0,0.02,0.01,0.0,0.0
PRES PROG,0.19,0.11,0.09,0.24,0.1,0.09,0.08,0.1,0.0,0.0,0.0
PRES ~ PRES PART,0.41,0.17,0.09,0.11,0.06,0.06,0.04,0.05,0.0,0.0,0.0
FUT,0.25,0.09,0.05,0.2,0.31,0.02,0.08,0.02,0.0,0.0,0.0
PAST PROG,0.15,0.1,0.53,0.0,0.17,0.01,0.01,0.03,0.0,0.0,0.0
PRES ~ PRES PROG,0.3,0.07,0.06,0.19,0.15,0.08,0.08,0.07,0.0,0.0,0.01
PAST ~ PAST PROG,0.22,0.11,0.52,0.01,0.12,0.02,0.0,0.01,0.0,0.0,0.0
PAST ~ PRES PART,0.45,0.13,0.32,0.01,0.07,0.01,0.0,0.01,0.0,0.0,0.0
PAST ~ PRES,0.39,0.18,0.03,0.11,0.18,0.07,0.02,0.02,0.0,0.0,0.0
FUT ~ PRES,0.19,0.13,0.11,0.08,0.26,0.11,0.08,0.04,0.0,0.0,0.0
FUT ~ MOD shall,0.22,0.18,0.14,0.24,0.08,0.16,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.23,0.19,0.02,0.17,0.17,0.04,0.09,0.09,0.0,0.0,0.0
PRES PERF,0.42,0.09,0.07,0.12,0.12,0.07,0.07,0.05,0.0,0.0,0.0
TO INF,0.23,0.12,0.09,0.23,0.19,0.07,0.0,0.07,0.0,0.0,0.0
PAST PERF,0.16,0.02,0.56,0.0,0.19,0.0,0.0,0.07,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.23,0.13,0.56,0.03,0.03,0.0,0.0,0.03,0.0,0.0,0.0
FUT ~ FUT going-to,0.26,0.06,0.06,0.14,0.34,0.0,0.09,0.03,0.0,0.0,0.03
