eng_TAMsimp,0,1
PAST,0.96,0.04
PAST ~ PRES PART,0.97,0.03
PRES,0.99,0.01
PAST ~ PAST PERF,0.94,0.06
PRES PERF,0.97,0.03
PAST ~ PRES PERF,0.97,0.03
PAST ~ PRES,0.91,0.09
PAST ~ TO INF,0.97,0.03
PAST PERF,1.0,0.0
PRES ~ PRES PERF,1.0,0.0
PAST ~ PAST PROG,0.89,0.11
PRES PART,1.0,0.0
FUT ~ PRES,1.0,0.0
MOD would,1.0,0.0
MOD could ~ PAST,0.82,0.18
TO INF,0.9,0.1
FUT ~ PAST,1.0,0.0
MOD let ~ PAST,1.0,0.0
PRES ~ PRES PART,1.0,0.0
PRES ~ TO INF,1.0,0.0
PRES PART ~ PRES PERF,1.0,0.0
PAST PROG,1.0,0.0
PRES ~ PRES PROG,1.0,0.0
MOD would ~ PAST,1.0,0.0
IMPV ~ PAST,1.0,0.0
FUT ~ PRES PERF,0.8,0.2
PAST PERF ~ PRES PERF,1.0,0.0
PAST PERF ~ PRES PART,1.0,0.0
PRES PERF ~ TO INF,1.0,0.0
PAST ~ VB,1.0,0.0
MOD let,1.0,0.0
FUT ~ MOD shall,1.0,0.0
FUT,1.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0
MOD may ~ PAST,1.0,0.0
MOD can ~ PRES,1.0,0.0
PRES PERF PROG,1.0,0.0
MOD is to ~ PRES PERF,1.0,0.0
FUT ~ PRES PART,1.0,0.0
FUT ~ MOD would,1.0,0.0
PRES PART ~ TO INF,1.0,0.0
IMPV ~ PRES,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
MOD can ~ PAST,1.0,0.0
MOD could ~ MOD might,1.0,0.0
MOD might ~ PRES PERF,1.0,0.0
PAST ~ PAST PERF PROG,1.0,0.0
MOD let ~ MOD may,1.0,0.0
MOD must ~ PAST,1.0,0.0
MOD let ~ PRES,1.0,0.0
PAST PROG ~ PRES PERF PROG,1.0,0.0
PAST PROG ~ PRES PERF,1.0,0.0
PAST PROG ~ PRES PART,1.0,0.0
MOD let ~ PRES PART,1.0,0.0
PAST PERF ~ TO INF,1.0,0.0
MOD may,1.0,0.0
MOD would ~ PRES,1.0,0.0
MOD may ~ PRES,1.0,0.0
MOD should ~ TO INF,1.0,0.0
MOD should ~ PRES,1.0,0.0
MOD should ~ MOD would,1.0,0.0
MOD must ~ PRES,1.0,0.0
??VB ~ PAST,1.0,0.0
