eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,42,27,47
PAST ~ PRES,37,4,0
PRES,3,22,8
MOD would ~ PAST,19,0,0
FUT,7,12,0
FUT ~ MOD shall,7,6,4
MOD would,14,0,1
PRES PERF,0,11,0
PAST ~ PRES PART,6,2,2
PAST ~ PRES PERF,0,6,0
FUT ~ PRES,2,4,0
PAST ~ PAST PROG,4,0,1
PRES ~ PRES PART,2,2,0
HAB used to ~ PAST,3,0,0
HAB used to ~ MOD would,3,0,0
HAB used to,2,0,1
MOD is to ~ MOD shall,0,0,3
FUT ~ MOD lest,2,0,0
PAST ~ TO INF,0,0,2
IMPV ~ MOD would,2,0,0
PRES PART,1,0,1
FUT ~ MOD may,0,1,0
IMPV ~ PRES,0,0,1
FUT ~ MOD can,0,1,0
HAB used to ~ PAST PROG,1,0,0
IMPV,0,0,1
TO INF,1,0,0
MOD may,1,0,0
MOD may ~ PRES,1,0,0
MOD shall,0,0,1
MOD should,1,0,0
MOD should ~ PRES,1,0,0
PRES ~ PRES PERF,0,1,0
MOD was to ~ PAST,1,0,0
MOD would ~ PRES PART,1,0,0
MOD ~ MOD would,1,0,0
PAST ~ PAST PERF,0,0,1
PRES PERF ~ TO INF,0,1,0
MOD was to,1,0,0
