esv_TAMsimp,PAST,PRES,PRES PERF,PAST PERF,PRES PART,?PAST,TO INF,FUT,PAST PROG,?PRES,MOD would,?VB,MOD could,?TO INF,IMPV,?FUT,PRES PROG,??PAST,?PRES PERF,?PAST did not,?PAST wh-question,MOD let,MOD may,MOD must,?PAST question,MOD can,MOD might,?PAST do-support,PRES PERF PROG,?MOD would,MOD is to,??VB,PAST PERF PROG
PAST,1.05,250.49,287.15,91.26,83.5,196.22,173.13,1962.17,470.92,3924.33,3924.33,1962.17,1308.11,3924.33,3924.33,5886.5,inf,11773.0,11773.0,5886.5,11773.0,inf,inf,11773.0,inf,inf,inf,11773.0,inf,inf,inf,inf,11773.0
PRES PERF,4.18,11.42,1.68,74.25,74.25,297.0,148.5,59.4,297.0,148.5,inf,297.0,inf,inf,inf,inf,297.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,297.0,inf,inf,inf,297.0,inf,inf
PRES,7.94,1.52,16.4,inf,82.0,inf,123.0,16.4,inf,41.0,inf,123.0,inf,246.0,inf,246.0,61.5,inf,inf,inf,inf,inf,246.0,246.0,inf,123.0,inf,inf,inf,inf,inf,inf,inf
?PAST,2.81,60.0,inf,180.0,36.0,1.76,inf,inf,inf,inf,inf,180.0,inf,180.0,90.0,inf,inf,180.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,2.11,inf,inf,2.04,37.33,inf,112.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,1.65,81.0,81.0,inf,3.12,81.0,81.0,inf,inf,inf,inf,inf,inf,inf,81.0,81.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES,7.25,4.14,inf,inf,14.5,inf,29.0,29.0,inf,2.23,inf,inf,inf,inf,inf,29.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,14.0,14.0,inf,inf,inf,inf,inf,14.0,inf,inf,1.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,4.67,14.0,14.0,inf,inf,inf,1.56,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,4.0,inf,12.0,inf,inf,6.0,inf,inf,inf,12.0,inf,2.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,3.33,10.0,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,3.33,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,4.0,inf,inf,inf,8.0,inf,inf,inf,1.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF,inf,3.0,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not,1.5,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST question,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,3.0,inf
?PAST wh-question,inf,inf,inf,inf,inf,inf,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,inf,3.0,inf,inf,inf,inf,3.0,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
