,sum
PRES,2676
FUT,2352
FUT ~ MOD shall,1747
IMPV,601
IMPV ~ MOD shall,507
PAST,447
FUT ~ PRES,429
MOD let,367
MOD must ~ MOD shall,338
MOD may,326
MOD is to ~ MOD shall,294
MOD can,270
MOD shall,220
MOD shall ~ PRES,150
FUT ~ MOD may,134
MOD would,120
IMPV ~ MOD let,112
PAST ~ PRES,111
MOD let ~ MOD may,104
PRES ~ PRES PART,96
PRES ~ PRES PERF,88
MOD should,83
FUT ~ MOD lest,72
MOD can ~ PRES,71
TO INF,71
FUT ~ MOD can,64
MOD may ~ PRES,62
PRES PERF,61
MOD may ~ MOD shall,58
IMPV ~ PRES,55
MOD can ~ MOD may,50
PRES PART,49
MOD should ~ PRES,45
PRES ~ TO INF,45
MOD can ~ MOD shall,44
FUT ~ MOD would,42
MOD must,38
MOD shall ~ TO INF,38
MOD could,38
PAST ~ PRES PERF,33
MOD may ~ TO INF,33
MOD shall ~ MOD should,31
IMPV ~ MOD may,30
MOD would ~ PAST,29
FUT ~ TO INF,29
MOD would ~ PRES,23
FUT ~ IMPV,23
MOD let ~ PRES,22
FUT ~ MOD let,21
PAST ~ PRES PART,21
MOD shall ~ PRES PART,20
MOD should ~ TO INF,19
MOD must ~ PRES,18
FUT ~ PRES PART,17
MOD let ~ TO INF,17
MOD lest ~ MOD may,16
PRES ~ PRES PROG,16
MOD let ~ MOD shall,15
FUT ~ PAST,15
IMPV ~ MOD must,14
MOD lest ~ PRES,14
MOD shall ~ PAST,14
MOD should ~ MOD would,14
PAST ~ TO INF,13
HAB used to ~ PAST,12
FUT ~ MOD should,12
MOD may ~ MOD must,11
MOD might,11
IMPV ~ MOD can,11
PAST ~ PAST PERF,10
MOD is to,10
MOD let ~ MOD must,9
MOD was to ~ PAST,9
MOD is to ~ MOD let,9
MOD let ~ PAST,8
MOD let ~ MOD should,8
MOD can ~ MOD could,8
MOD can ~ MOD should,8
IMPV ~ MOD should,7
IMPV ~ TO INF,7
IMPV ~ PRES PART,7
MOD lest,7
IMPV ~ PAST,7
MOD should ~ MOD was to,7
PAST PERF,7
MOD might ~ MOD would,7
MOD could ~ MOD would,7
FUT ~ MOD must,7
MOD may ~ PRES PART,6
MOD could ~ MOD might,6
MOD is to ~ MOD may,6
PAST ~ PAST PROG,6
FUT going-to ~ MOD shall,6
MOD could ~ PAST,6
MOD shall ~ MOD would,6
FUT ~ PRES PERF,6
PRES PART ~ TO INF,6
?VB ~ MOD let,6
MOD can ~ TO INF,6
MOD lest ~ MOD might,6
FUT ~ FUT going-to,6
MOD would ~ TO INF,5
MOD VB ~ MOD may,5
MOD might ~ PAST,5
MOD lest ~ TO INF,5
MOD can ~ MOD let,5
MOD might ~ TO INF,5
MOD was to,5
MOD let ~ PRES PART,5
MOD is to ~ MOD must,5
MOD might ~ MOD should,5
MOD can ~ PRES PART,5
HAB used to,4
?VB ~ PAST,4
PRES PERF ~ TO INF,4
PAST PERF ~ PRES,4
MOD VB ~ PRES,4
IMPV ~ MOD lest,4
FUT ~ MOD is to,4
MOD should ~ PAST,4
FUT ~ PRES PROG,4
MOD can ~ PAST,4
IMPV ~ MOD is to,3
MOD need not ~ MOD shall,3
FUT PROG ~ PRES,3
MOD may ~ PAST,3
?VB,3
MOD may ~ PRES PERF,3
MOD would ~ PRES PART,3
MOD is to ~ PRES PART,3
MOD let ~ PRES PERF,3
MOD could ~ MOD should,3
MOD could ~ MOD must,3
PRES PART ~ PRES PERF,3
PAST PROG,3
MOD lest ~ MOD would,3
MOD let ~ MOD would,3
FUT ~ MOD that be,3
MOD shall ~ PRES PERF,3
MOD can ~ MOD might,3
MOD may ~ MOD might,3
MOD must ~ MOD should,2
MOD can ~ MOD must,2
MOD lest ~ MOD shall,2
PRES ~ PRES do,2
MOD let ~ MOD that be,2
MOD is to ~ TO INF,2
MOD need not ~ PRES,2
MOD is to ~ PRES,2
?VB ~ MOD must,2
??VB ~ MOD let,2
PAST PROG ~ PRES,2
MOD should ~ PRES PERF,2
MOD lest ~ MOD should,2
?VB ~ MOD shall,2
MOD could ~ TO INF,2
PRES PROG,2
MOD that be,2
HAB used to ~ MOD would,1
MOD might ~ PRES PERF,1
MOD is to ~ PRES PROG,1
MOD can ~ MOD lest,1
MOD quest must,1
MOD VB ~ MOD can,1
HAB used to ~ PRES PERF,1
MOD VB ~ TO INF,1
MOD would ~ PAST PERF,1
MOD is to ~ MOD should,1
MOD could ~ PRES PERF,1
?VB ~ IMPV,1
PAST PROG ~ PRES PART,1
MOD should ~ PRES PART,1
FUT PERF,1
MOD was to ~ PRES,1
PRES PERF ~ PRES PROG,1
MOD lest ~ MOD must,1
IMPV ~ PRES PERF,1
FUT going-to ~ MOD is to,1
PRES ~ PRES shall,1
FUT going-to ~ MOD lest,1
FUT PROG ~ MOD shall,1
?VB ~ MOD lest,1
MOD is to ~ MOD lest,1
MOD VB ~ MOD shall,1
MOD may ~ MOD should,1
FUT ~ PRES shall,1
MOD would ~ PAST PROG,1
MOD must ~ PRES PART,1
MOD quest must ~ MOD shall,1
MOD that be ~ TO INF,1
MOD could ~ MOD shall,1
IMPV ~ MOD need not,1
IMPV ~ MOD,1
MOD must ~ PRES PROG,1
MOD could ~ PAST PERF,1
MOD must ~ TO INF,1
FUT PERF ~ PRES,1
MOD must ~ PRES shall,1
HAB used to ~ PRES,1
FUT ~ MOD,1
MOD may ~ MOD would,1
JJ ~ PRES,1
PRES ~ PRES can,1
MOD lest ~ MOD let,1
MOD ~ PRES,1
MOD let ~ MOD might,1
PRES PART ~ PRES PROG,1
FUT ~ FUT PROG,1
MOD must ~ MOD quest must,1
MOD let ~ VB,1
MOD lest ~ MOD that be,1
