eng_TAMsimp,N,Q
PAST ~ PRES PART,0.22,-0.22
PAST ~ PAST PERF,0.39,-0.39
?PAST ~ PAST,0.28,-0.28
PAST ~ PRES PERF,-0.64,0.64
PAST ~ PRES,-0.32,0.32
PAST ~ TO INF,0.29,-0.29
PRES ~ PRES PERF,-0.48,0.48
PAST ~ PAST PROG,0.38,-0.38
FUT ~ PRES,-0.3,0.3
?PRES ~ PRES,-0.4,0.4
MOD could ~ PAST,0.28,-0.28
?VB ~ PAST,-0.3,0.3
?PRES ~ PAST,-0.35,0.35
?PAST ~ PRES PART,0.04,-0.04
FUT ~ PAST,-0.3,0.3
PRES PART ~ PRES PERF,-0.63,0.63
FUT ~ PRES PERF,-0.23,0.23
PRES ~ PRES PART,-0.38,0.38
MOD would ~ PAST,0.12,-0.12
PRES ~ PRES PROG,-0.63,0.63
PAST PERF ~ PRES PERF,-0.63,0.63
?PAST did not ~ PAST,-0.13,0.13
?PAST ~ ?VB,0.04,-0.04
?TO INF ~ PAST,0.37,-0.37
MOD let ~ PAST,0.04,-0.04
?PAST ~ PRES,0.04,-0.04
IMPV ~ PAST,0.37,-0.37
PRES ~ TO INF,-0.63,0.63
FUT ~ MOD shall,-0.63,0.63
PRES PERF ~ TO INF,-0.63,0.63
PAST PERF ~ PRES PART,0.04,-0.04
?VB ~ PRES PERF,-0.63,0.63
?FUT ~ PAST,0.37,-0.37
PRES PERF ~ PRES PROG,-0.63,0.63
MOD may ~ PAST,-0.13,0.13
?PRES PERF ~ PRES,-0.63,0.63
?PRES ~ ?PRES PERF,-0.63,0.63
?PRES ~ PRES PART,-0.63,0.63
?PRES ~ PRES PERF,-0.63,0.63
?VB ~ PRES,-0.13,0.13
?PAST ~ IMPV,0.37,-0.37
??VB ~ ?PAST question,-0.63,0.63
MOD can ~ PRES,0.37,-0.37
?FUT ~ PRES,0.37,-0.37
??VB ~ PAST,-0.63,0.63
??PAST ~ ?TO INF,0.37,-0.37
?PAST ~ ?TO INF,0.37,-0.37
??PAST ~ PAST,0.37,-0.37
??PRES ~ PAST,-0.63,0.63
?PAST wh-question ~ TO INF,0.37,-0.37
?PAST wh-question ~ PAST,-0.63,0.63
?PAST wh-question ~ MOD let,-0.63,0.63
?PAST wh-question ~ ?PRES,-0.63,0.63
??VB ~ PRES,-0.63,0.63
?FUT ~ PRES PART,-0.63,0.63
?PAST do-support ~ PAST,0.37,-0.37
?PAST did not ~ TO INF,-0.63,0.63
??VB ~ PRES PERF,-0.63,0.63
?FUT ~ ?PRES,-0.63,0.63
PRES PART ~ TO INF,0.37,-0.37
?PAST did not ~ ?PAST question,-0.63,0.63
?PAST PERF ~ PAST PERF,-0.63,0.63
?MOD would ~ PAST,0.37,-0.37
?MOD let ~ PAST,0.37,-0.37
MOD may ~ PRES,-0.63,0.63
?PRES PERF ~ PAST,-0.63,0.63
?PAST ~ PAST PERF,0.37,-0.37
MOD should ~ PRES,-0.63,0.63
MOD let ~ PRES PART,0.37,-0.37
MOD let ~ PRES,0.37,-0.37
MOD might ~ PRES PERF,-0.63,0.63
MOD let ~ MOD may,-0.63,0.63
MOD is to ~ PRES PERF,-0.63,0.63
MOD must ~ PAST,-0.63,0.63
MOD could ~ MOD might,-0.63,0.63
IMPV ~ PRES PART,0.37,-0.37
IMPV ~ PRES,-0.63,0.63
MOD must ~ PRES,0.37,-0.37
MOD should ~ MOD would,0.37,-0.37
MOD should ~ TO INF,-0.63,0.63
PAST ~ PAST PERF PROG,0.37,-0.37
FUT ~ MOD would,-0.63,0.63
MOD would ~ PRES,-0.63,0.63
?TO INF ~ PRES,-0.63,0.63
PAST PERF ~ TO INF,0.37,-0.37
?PRES ~ TO INF,-0.63,0.63
PAST PROG ~ PRES PART,0.37,-0.37
PAST PROG ~ PRES PERF,0.37,-0.37
?PRES ~ FUT,-0.63,0.63
?PRES ~ ?VB,-0.63,0.63
?PAST ~ PRES PERF,-0.63,0.63
PAST PROG ~ PRES PERF PROG,-0.63,0.63
??PAST ~ ?PAST,0.37,-0.37
