eng_TAMsimp,Q,N
PRES ~ PRES PART,0.24,-0.24
PAST ~ PAST PROG,-0.62,0.62
PRES ~ PRES PROG,0.28,-0.28
PAST ~ PRES PART,-0.59,0.59
PAST ~ PRES,0.14,-0.14
FUT ~ PRES,0.28,-0.28
PRES ~ PRES PERF,0.28,-0.28
FUT ~ MOD shall,0.28,-0.28
PAST PROG ~ PRES PART,-0.62,0.62
FUT ~ FUT going-to,0.28,-0.28
PAST ~ PRES PERF,0.28,-0.28
PAST ~ PAST PERF,-0.63,0.63
PRES PART ~ PRES PROG,0.23,-0.23
FUT ~ PRES PROG,0.27,-0.27
FUT ~ PRES PART,0.27,-0.27
PAST ~ TO INF,-0.55,0.55
MOD may ~ PRES,0.27,-0.27
FUT ~ TO INF,0.27,-0.27
FUT going-to ~ PRES,0.27,-0.27
FUT going-to ~ PRES PROG,0.27,-0.27
PRES PART ~ TO INF,-0.13,0.13
MOD could ~ PAST,-0.74,0.74
IMPV ~ PRES,0.27,-0.27
MOD can ~ PRES,0.27,-0.27
MOD is to ~ PRES,0.27,-0.27
PRES ~ TO INF,0.1,-0.1
PRES PART ~ PRES PERF,0.27,-0.27
MOD shall ~ PRES,0.27,-0.27
PAST PERF ~ PAST PROG,-0.53,0.53
MOD would ~ PAST,-0.73,0.73
MOD would ~ PRES,0.27,-0.27
FUT ~ MOD must,0.27,-0.27
IMPV ~ MOD may,0.27,-0.27
PAST ~ PRES PROG,0.27,-0.27
MOD is to ~ MOD shall,0.02,-0.02
PAST ~ PAST PERF PROG,-0.73,0.73
FUT going-to ~ MOD shall,0.27,-0.27
MOD can ~ MOD shall,0.27,-0.27
PRES ~ PRES PERF PROG,0.27,-0.27
FUT PROG ~ PRES PART,0.27,-0.27
MOD shall ~ TO INF,0.27,-0.27
PRES PERF ~ PRES PROG,0.27,-0.27
MOD should ~ MOD would,-0.07,0.07
PRES PERF PROG ~ PRES PROG,0.27,-0.27
MOD is to ~ PRES PART,0.27,-0.27
MOD should ~ TO INF,0.27,-0.27
MOD was to ~ PAST,-0.73,0.73
FUT ~ MOD is to,0.27,-0.27
MOD can ~ TO INF,0.27,-0.27
PAST PROG ~ PRES,0.27,-0.27
MOD can ~ PRES PART,0.27,-0.27
MOD may ~ PAST,0.27,-0.27
MOD let ~ PRES,0.27,-0.27
MOD may ~ TO INF,0.27,-0.27
MOD must ~ MOD shall,0.27,-0.27
MOD is to ~ TO INF,0.27,-0.27
MOD was to ~ TO INF,-0.73,0.73
MOD must ~ PRES,0.27,-0.27
PAST PERF PROG ~ PAST PROG,-0.73,0.73
PRES ~ PRES PROG keep,0.27,-0.27
FUT going-to ~ PRES PART,0.27,-0.27
PRES PART ~ PRES PERF PROG,0.27,-0.27
PAST PERF ~ PRES PART,-0.73,0.73
PAST PERF ~ PRES,-0.73,0.73
FUT ~ PAST PROG,0.27,-0.27
PAST PERF ~ PAST PERF PROG,-0.73,0.73
MOD was to ~ PAST PROG,-0.73,0.73
FUT ~ MOD may,0.27,-0.27
FUT ~ MOD can,0.27,-0.27
HAB used to ~ PAST,-0.73,0.73
HAB used to ~ PAST PERF,-0.73,0.73
FUT ~ VB,0.27,-0.27
FUT ~ FUT PROG,0.27,-0.27
FUT ~ MOD would,0.27,-0.27
FUT ~ PAST,0.27,-0.27
TO INF ~ VB,-0.73,0.73
MOD shall ~ PRES PART,0.27,-0.27
IMPV ~ PRES PROG,0.27,-0.27
MOD should ~ PRES PERF,0.27,-0.27
PRES PROG ~ TO INF,0.27,-0.27
PRES PROG ~ PRES PROG keep,0.27,-0.27
PRES PERF ~ TO INF,0.27,-0.27
PRES PERF ~ PRES PERF PROG,0.27,-0.27
PAST ~ VB,0.27,-0.27
PAST PROG ~ TO INF,-0.73,0.73
MOD would ~ PRES PROG,0.27,-0.27
MOD would ~ PRES PERF,0.27,-0.27
MOD was to ~ PRES PART,-0.73,0.73
MOD that VB ~ PRES PART,-0.73,0.73
MOD should ~ PRES,0.27,-0.27
MOD can ~ MOD may,0.27,-0.27
MOD should ~ PAST,-0.73,0.73
MOD should ~ MOD was to,-0.73,0.73
MOD shall ~ PRES PERF,0.27,-0.27
MOD shall ~ PAST,0.27,-0.27
MOD need not ~ TO INF,0.27,-0.27
MOD must ~ PRES PART,0.27,-0.27
MOD may ~ PRES PART,0.27,-0.27
MOD let ~ TO INF,0.27,-0.27
MOD is to ~ MOD would,0.27,-0.27
MOD could ~ PRES PART,-0.73,0.73
FUT PROG ~ MOD is to,0.27,-0.27
