bhsa_node,french_tense
3,passé_simp
15,
47,
69,passé_simp
172,passé_simp
178,
227,
351,
397,passé_simp
413,
494,
545,passé_simp
550,passé_simp
594,
660,
694,
706,
719,passé_simp
724,
764,imparfait
831,
1074,passé_simp
1105,
1137,
1171,
1179,
1189,
1221,
1359,passé_comp
1373,
1383,passé_comp
1388,
1396,
1399,passé_comp
1415,
1422,passé_comp
1433,passé_comp
1480,
1501,
1503,passé_comp
1513,passé_comp
1554,
1571,passé_comp
1595,passé_comp
1635,
1670,passé_simp
1682,passé_comp
1701,
1721,passé_simp
1745,passé_simp
1760,
1764,
1819,
1827,
1844,passé_comp
1881,
1975,passé_simp
1980,
1985,
2009,
2020,
2031,passé_simp
2060,
2091,passé_comp
2099,passé_comp
2106,
2114,passé_simp
2132,passé_simp
2137,passé_simp
2189,passé_simp
2463,passé_simp
2547,
2604,passé_simp
2615,
2636,passé_simp
2662,imparfait
2721,
2740,
2758,
2760,
2763,passé_simp
2775,
2781,imparfait
2816,
2818,
2834,passé_comp
2838,
3033,
3037,passé_simp
3053,passé_comp
3127,passé_comp
3139,
3150,passé_simp
3199,passé_simp
3210,
3224,imparfait
3253,imparfait
3262,passé_simp
3281,passé_simp
3362,imparfait
3365,
3417,passé_simp
3441,passé_simp
3495,
3633,
3650,passé_simp
3668,
3697,
3707,passé_simp
3773,
3793,passé_simp
3813,
3831,
3849,
3939,passé_simp
4013,passé_comp
4085,
4098,
4148,
4266,
4360,
4396,
4465,passé_simp
4475,
4589,
4632,
4636,
4644,
4679,passé_simp
4706,
4725,passé_comp
4734,
4779,passé_simp
4818,passé_simp
4852,
4857,
4863,passé_simp
4873,
4882,
4957,passé_comp
5013,passé_simp
5055,imparfait
5116,passé_comp
5121,
5130,
5169,passé_simp
5198,passé_simp
5377,
5387,
5536,
5571,
5577,
5697,
5708,
5781,imparfait
5824,
5828,
5834,
5910,imparfait
5927,
5947,imparfait
5955,imparfait
5963,imparfait
5968,imparfait
6092,passé_simp
6098,passé_simp
6118,
6229,passé_simp
6254,imparfait
6266,
6273,
6279,imparfait
6409,passé_simp
6473,
6521,passé_simp
6560,passé_simp
6588,passé_comp
6619,
6647,passé_comp
6653,passé_comp
6661,passé_comp
6675,passé_simp
6719,
6785,
6849,
6869,passé_simp
6945,
6948,passé_simp
6957,passé_simp
6968,
6977,
7037,
7053,passé_comp
7108,
7122,passé_comp
7129,
7186,
7239,passé_comp
7273,
7277,
7282,passé_comp
7306,
7398,passé_comp
7562,passé_comp
7583,
7661,
7663,
7749,
7781,
7799,
7847,passé_comp
7881,passé_comp
7890,passé_comp
7913,passé_simp
7942,
8001,
8019,
8024,
8032,
8042,
8067,
8069,
8074,
8094,
8120,passé_comp
8146,passé_comp
8156,
8160,
8170,passé_comp
8172,passé_comp
8289,
8368,
8414,
8421,passé_simp
8496,passé_simp
8507,imparfait
8532,passé_comp
8550,passé_simp
8565,
8591,passé_comp
8603,passé_comp
8644,passé_simp
8653,passé_simp
8703,
8748,passé_simp
8839,passé_comp
8848,
8895,
8910,
8925,passé_comp
8932,imparfait
