eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,-0.19,-0.09,0.28
PAST ~ PRES,0.47,-0.22,-0.25
PRES,-0.44,0.41,0.03
MOD would ~ PAST,0.54,-0.31,-0.23
FUT,-0.13,0.36,-0.23
FUT ~ MOD shall,-0.08,0.06,0.02
MOD would,0.47,-0.31,-0.16
PRES PERF,-0.5,0.73,-0.22
PAST ~ PRES PART,0.12,-0.1,-0.02
PAST ~ PRES PERF,-0.5,0.72,-0.22
FUT ~ PRES,-0.16,0.38,-0.22
PAST ~ PAST PROG,0.32,-0.3,-0.02
PRES ~ PRES PART,0.01,0.21,-0.22
HAB used to ~ PAST,0.52,-0.3,-0.22
HAB used to ~ MOD would,0.52,-0.3,-0.22
HAB used to,0.18,-0.3,0.12
MOD is to ~ MOD shall,-0.49,-0.3,0.79
FUT ~ MOD lest,0.51,-0.3,-0.22
PAST ~ TO INF,-0.49,-0.3,0.79
IMPV ~ MOD would,0.51,-0.3,-0.22
PRES PART,0.01,-0.3,0.28
FUT ~ MOD may,-0.49,0.71,-0.22
IMPV ~ PRES,-0.49,-0.29,0.78
FUT ~ MOD can,-0.49,0.71,-0.22
HAB used to ~ PAST PROG,0.51,-0.29,-0.22
IMPV,-0.49,-0.29,0.78
TO INF,0.51,-0.29,-0.22
MOD may,0.51,-0.29,-0.22
MOD may ~ PRES,0.51,-0.29,-0.22
MOD shall,-0.49,-0.29,0.78
MOD should,0.51,-0.29,-0.22
MOD should ~ PRES,0.51,-0.29,-0.22
PRES ~ PRES PERF,-0.49,0.71,-0.22
MOD was to ~ PAST,0.51,-0.29,-0.22
MOD would ~ PRES PART,0.51,-0.29,-0.22
MOD ~ MOD would,0.51,-0.29,-0.22
PAST ~ PAST PERF,-0.49,-0.29,0.78
PRES PERF ~ TO INF,-0.49,0.71,-0.22
MOD was to,0.51,-0.29,-0.22
