eng_TAMsimp,N,Q
PAST ~ PRES PART,1.24,5.14
PAST ~ PAST PERF,1.06,18.2
?PAST ~ PAST,1.15,7.75
PAST ~ PRES PERF,16.0,1.07
PAST ~ PRES,3.0,1.5
PAST ~ TO INF,1.11,10.14
PRES ~ PRES PERF,5.86,1.21
PAST ~ PAST PROG,1.0,inf
FUT ~ PRES,3.0,1.5
?PRES ~ PRES,4.33,1.3
MOD could ~ PAST,1.1,11.0
?VB ~ PAST,3.0,1.5
?PRES ~ PAST,3.5,1.4
?PAST ~ PRES PART,1.5,3.0
FUT ~ PAST,3.0,1.5
PRES PART ~ PRES PERF,inf,1.0
FUT ~ PRES PERF,2.5,1.67
PRES ~ PRES PART,4.0,1.33
MOD would ~ PAST,1.33,4.0
PRES ~ PRES PROG,inf,1.0
PAST PERF ~ PRES PERF,inf,1.0
?PAST did not ~ PAST,2.0,2.0
?PAST ~ ?VB,1.5,3.0
?TO INF ~ PAST,1.0,inf
MOD let ~ PAST,1.5,3.0
?PAST ~ PRES,1.5,3.0
IMPV ~ PAST,1.0,inf
PRES ~ TO INF,inf,1.0
FUT ~ MOD shall,inf,1.0
PRES PERF ~ TO INF,inf,1.0
PAST PERF ~ PRES PART,1.5,3.0
?VB ~ PRES PERF,inf,1.0
?FUT ~ PAST,1.0,inf
PRES PERF ~ PRES PROG,inf,1.0
MOD may ~ PAST,2.0,2.0
?PRES PERF ~ PRES,inf,1.0
?PRES ~ ?PRES PERF,inf,1.0
?PRES ~ PRES PART,inf,1.0
?PRES ~ PRES PERF,inf,1.0
?VB ~ PRES,2.0,2.0
?PAST ~ IMPV,1.0,inf
??VB ~ ?PAST question,inf,1.0
MOD can ~ PRES,1.0,inf
?FUT ~ PRES,1.0,inf
??VB ~ PAST,inf,1.0
??PAST ~ ?TO INF,1.0,inf
?PAST ~ ?TO INF,1.0,inf
??PAST ~ PAST,1.0,inf
??PRES ~ PAST,inf,1.0
?PAST wh-question ~ TO INF,1.0,inf
?PAST wh-question ~ PAST,inf,1.0
?PAST wh-question ~ MOD let,inf,1.0
?PAST wh-question ~ ?PRES,inf,1.0
??VB ~ PRES,inf,1.0
?FUT ~ PRES PART,inf,1.0
?PAST do-support ~ PAST,1.0,inf
?PAST did not ~ TO INF,inf,1.0
??VB ~ PRES PERF,inf,1.0
?FUT ~ ?PRES,inf,1.0
PRES PART ~ TO INF,1.0,inf
?PAST did not ~ ?PAST question,inf,1.0
?PAST PERF ~ PAST PERF,inf,1.0
?MOD would ~ PAST,1.0,inf
?MOD let ~ PAST,1.0,inf
MOD may ~ PRES,inf,1.0
?PRES PERF ~ PAST,inf,1.0
?PAST ~ PAST PERF,1.0,inf
MOD should ~ PRES,inf,1.0
MOD let ~ PRES PART,1.0,inf
MOD let ~ PRES,1.0,inf
MOD might ~ PRES PERF,inf,1.0
MOD let ~ MOD may,inf,1.0
MOD is to ~ PRES PERF,inf,1.0
MOD must ~ PAST,inf,1.0
MOD could ~ MOD might,inf,1.0
IMPV ~ PRES PART,1.0,inf
IMPV ~ PRES,inf,1.0
MOD must ~ PRES,1.0,inf
MOD should ~ MOD would,1.0,inf
MOD should ~ TO INF,inf,1.0
PAST ~ PAST PERF PROG,1.0,inf
FUT ~ MOD would,inf,1.0
MOD would ~ PRES,inf,1.0
?TO INF ~ PRES,inf,1.0
PAST PERF ~ TO INF,1.0,inf
?PRES ~ TO INF,inf,1.0
PAST PROG ~ PRES PART,1.0,inf
PAST PROG ~ PRES PERF,1.0,inf
?PRES ~ FUT,inf,1.0
?PRES ~ ?VB,inf,1.0
?PAST ~ PRES PERF,inf,1.0
PAST PROG ~ PRES PERF PROG,inf,1.0
??PAST ~ ?PAST,1.0,inf
