eng_TAMsimp,prose,prophetic,poetry,instruction,list
PAST ~ PRES PART,165,13,6,2,4
PAST ~ PAST PERF,158,12,2,3,7
?PAST ~ PAST,93,7,7,15,2
PAST ~ PRES PERF,53,40,17,2,0
PAST ~ PRES,27,23,20,7,1
PAST ~ TO INF,64,5,0,2,0
PRES ~ PRES PERF,9,14,17,0,1
PAST ~ PAST PROG,24,2,0,0,1
FUT ~ PRES,0,9,5,1,0
?PRES ~ PRES,0,5,7,0,1
MOD could ~ PAST,10,1,0,0,0
?VB ~ PAST,5,1,2,1,0
?PRES ~ PAST,4,2,1,0,0
?PAST ~ PRES PART,5,1,0,0,0
FUT ~ PAST,0,3,3,0,0
PRES PART ~ PRES PERF,2,2,0,1,0
FUT ~ PRES PERF,0,3,2,0,0
PRES ~ PRES PART,0,1,3,0,0
MOD would ~ PAST,3,0,1,0,0
PRES ~ PRES PROG,4,0,0,0,0
PAST PERF ~ PRES PERF,3,0,1,0,0
?PAST did not ~ PAST,3,1,0,0,0
?PAST ~ ?VB,0,0,1,2,0
?TO INF ~ PAST,3,0,0,0,0
MOD let ~ PAST,2,0,1,0,0
?PAST ~ PRES,2,1,0,0,0
IMPV ~ PAST,2,1,0,0,0
PRES ~ TO INF,0,1,2,0,0
FUT ~ MOD shall,0,2,1,0,0
PRES PERF ~ TO INF,1,1,1,0,0
PAST PERF ~ PRES PART,3,0,0,0,0
?VB ~ PRES PERF,2,0,0,0,0
?FUT ~ PAST,0,2,0,0,0
PRES PERF ~ PRES PROG,1,1,0,0,0
MOD may ~ PAST,1,0,1,0,0
?PRES PERF ~ PRES,2,0,0,0,0
?PRES ~ ?PRES PERF,0,1,1,0,0
?PRES ~ PRES PART,0,1,1,0,0
?PRES ~ PRES PERF,0,2,0,0,0
?VB ~ PRES,1,1,0,0,0
?PAST ~ IMPV,2,0,0,0,0
??VB ~ ?PAST question,2,0,0,0,0
MOD can ~ PRES,0,1,1,0,0
?FUT ~ PRES,0,0,1,0,0
??VB ~ PAST,0,1,0,0,0
??PAST ~ ?TO INF,1,0,0,0,0
?PAST ~ ?TO INF,1,0,0,0,0
??PAST ~ PAST,1,0,0,0,0
??PRES ~ PAST,1,0,0,0,0
?PAST wh-question ~ TO INF,0,1,0,0,0
?PAST wh-question ~ PAST,1,0,0,0,0
?PAST wh-question ~ MOD let,1,0,0,0,0
?PAST wh-question ~ ?PRES,1,0,0,0,0
??VB ~ PRES,1,0,0,0,0
?FUT ~ PRES PART,0,1,0,0,0
?PAST do-support ~ PAST,0,1,0,0,0
?PAST did not ~ TO INF,0,0,1,0,0
??VB ~ PRES PERF,0,0,1,0,0
?FUT ~ ?PRES,0,0,1,0,0
PRES PART ~ TO INF,1,0,0,0,0
?PAST did not ~ ?PAST question,1,0,0,0,0
?PAST PERF ~ PAST PERF,1,0,0,0,0
?MOD would ~ PAST,1,0,0,0,0
?MOD let ~ PAST,1,0,0,0,0
MOD may ~ PRES,0,1,0,0,0
?PRES PERF ~ PAST,0,0,1,0,0
?PAST ~ PAST PERF,1,0,0,0,0
MOD should ~ PRES,0,0,1,0,0
MOD let ~ PRES PART,1,0,0,0,0
MOD let ~ PRES,1,0,0,0,0
MOD might ~ PRES PERF,0,1,0,0,0
MOD let ~ MOD may,0,0,1,0,0
MOD is to ~ PRES PERF,0,1,0,0,0
MOD must ~ PAST,0,0,1,0,0
MOD could ~ MOD might,1,0,0,0,0
IMPV ~ PRES PART,0,0,0,0,1
IMPV ~ PRES,0,0,1,0,0
MOD must ~ PRES,0,1,0,0,0
MOD should ~ MOD would,1,0,0,0,0
MOD should ~ TO INF,1,0,0,0,0
PAST ~ PAST PERF PROG,1,0,0,0,0
FUT ~ MOD would,0,0,1,0,0
MOD would ~ PRES,0,0,1,0,0
?TO INF ~ PRES,0,0,1,0,0
PAST PERF ~ TO INF,1,0,0,0,0
?PRES ~ TO INF,0,1,0,0,0
PAST PROG ~ PRES PART,1,0,0,0,0
PAST PROG ~ PRES PERF,1,0,0,0,0
?PRES ~ FUT,0,0,1,0,0
?PRES ~ ?VB,0,1,0,0,0
?PAST ~ PRES PERF,1,0,0,0,0
PAST PROG ~ PRES PERF PROG,1,0,0,0,0
??PAST ~ ?PAST,1,0,0,0,0
