eng_TAMsimp,passé_comp,passé_simp,imparfait
PAST,0.36,0.48,0.17
PRES PERF,0.99,0.0,0.01
PAST ~ PRES PERF,0.96,0.0,0.04
PRES,0.93,0.02,0.05
PRES ~ PRES PERF,0.95,0.0,0.05
PAST ~ PAST PERF,0.28,0.48,0.25
PAST PERF,0.19,0.24,0.58
PAST ~ PRES,0.75,0.06,0.2
PAST ~ PRES PART,0.21,0.44,0.35
MOD could,0.04,0.32,0.64
MOD would,0.17,0.62,0.21
?PAST ~ PAST,0.45,0.5,0.05
FUT ~ PRES PERF,1.0,0.0,0.0
MOD could ~ PAST,0.1,0.55,0.35
MOD would ~ PAST,0.2,0.6,0.2
PAST ~ TO INF,0.25,0.5,0.25
PAST ~ PAST PROG,0.0,0.14,0.86
FUT ~ PRES,1.0,0.0,0.0
?PAST,0.25,0.67,0.08
?VB ~ PAST,0.62,0.25,0.12
PAST PROG,0.0,0.14,0.86
PRES PART ~ PRES PERF,1.0,0.0,0.0
PRES PART,0.71,0.14,0.14
PAST PERF ~ PRES PERF,1.0,0.0,0.0
?VB ~ PRES PERF,1.0,0.0,0.0
FUT ~ MOD shall,1.0,0.0,0.0
?PRES ~ PRES,1.0,0.0,0.0
HAB used to ~ PAST,0.2,0.2,0.6
MOD let,0.0,0.75,0.25
IMPV ~ PRES PERF,1.0,0.0,0.0
?VB ~ PRES,1.0,0.0,0.0
PAST PERF ~ PAST PROG,0.0,0.25,0.75
PRES PERF ~ PRES PROG,1.0,0.0,0.0
?PRES ~ PAST,0.33,0.33,0.33
?VB,1.0,0.0,0.0
MOD let ~ PRES PERF,0.67,0.0,0.33
PRES PROG,1.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,0.0,1.0
PRES PERF ~ PRES PERF PROG,1.0,0.0,0.0
PRES ~ PRES PART,1.0,0.0,0.0
?PAST ~ PRES PART,0.0,1.0,0.0
?PAST ~ PAST PERF,0.0,0.0,1.0
?IMPV ~ PAST,1.0,0.0,0.0
?MOD let ~ MOD let,0.0,1.0,0.0
FUT ~ PAST,1.0,0.0,0.0
?MOD let,1.0,0.0,0.0
?IMPV,1.0,0.0,0.0
PRES ~ PRES PROG,1.0,0.0,0.0
MOD shall ~ PRES PERF,1.0,0.0,0.0
MOD would ~ TO INF,0.0,0.5,0.5
PAST PROG ~ PRES PERF,1.0,0.0,0.0
IMPV ~ PAST,0.0,1.0,0.0
?MOD let ~ PRES PERF,1.0,0.0,0.0
?PAST did not ~ PAST,1.0,0.0,0.0
?PAST did not,0.0,1.0,0.0
?MOD would,0.0,0.0,1.0
?MOD shall ~ PRES PERF,1.0,0.0,0.0
PAST PERF ~ PRES PART,1.0,0.0,0.0
?MOD let ~ PAST,0.0,0.0,1.0
MOD would ~ PRES PART,0.0,1.0,0.0
?MOD let ~ ?MOD may,1.0,0.0,0.0
?MOD could ~ PRES,0.0,0.0,1.0
?MOD could ~ PAST,0.0,0.0,1.0
?MOD could ~ ?PAST did not,0.0,1.0,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0
?PAST ~ MOD would,0.0,1.0,0.0
?PAST ~ PRES,1.0,0.0,0.0
MOD should ~ PRES,0.0,0.0,1.0
MOD let ~ PRES PART,0.0,0.0,1.0
MOD could ~ PAST PERF,0.0,0.0,1.0
FUT ~ FUT PERF,1.0,0.0,0.0
FUT going-to ~ PRES PERF,1.0,0.0,0.0
FUT,1.0,0.0,0.0
MOD could ~ PRES PERF,1.0,0.0,0.0
MOD let ~ PAST,0.0,0.0,1.0
MOD may ~ PRES PERF,1.0,0.0,0.0
IMPV ~ PRES,1.0,0.0,0.0
?PRES ~ PRES PERF,1.0,0.0,0.0
MOD might ~ MOD would,0.0,0.0,1.0
MOD shall ~ PAST,1.0,0.0,0.0
?PRES ~ ?VB,1.0,0.0,0.0
?PRES PERF,1.0,0.0,0.0
?PRES,1.0,0.0,0.0
PRES ~ TO INF,0.0,0.0,1.0
