eng_TAMsimp,qal,hif,piel,nif,hit,hsht,hof,pual
PAST,1.29,9.2,15.45,32.52,84.35,196.82,350.59,2243.8
PAST ~ PRES PART,1.47,9.05,9.5,27.14,47.5,23.75,inf,190.0
PAST ~ PAST PERF,1.46,5.87,11.38,18.2,inf,inf,inf,inf
PRES PERF,1.62,4.21,9.83,29.5,177.0,177.0,inf,inf
PRES,1.53,6.48,10.12,13.5,81.0,162.0,inf,inf
?PAST ~ PAST,2.0,2.53,11.27,inf,62.0,inf,inf,inf
PAST ~ PRES PERF,1.6,8.62,5.6,18.67,56.0,112.0,inf,inf
?PAST,1.29,5.1,34.0,inf,inf,inf,inf,inf
PAST ~ PRES,1.24,11.14,13.0,39.0,inf,inf,inf,inf
PAST ~ TO INF,2.15,5.07,4.73,23.67,71.0,14.2,inf,inf
PAST PERF,1.34,7.86,7.86,inf,inf,inf,inf,inf
PRES ~ PRES PERF,1.37,8.2,8.2,inf,41.0,inf,inf,inf
PAST ~ PAST PROG,1.29,13.5,27.0,inf,9.0,inf,inf,inf
PRES PART,1.37,5.2,inf,inf,13.0,inf,inf,inf
FUT ~ PRES,1.67,5.0,15.0,7.5,inf,inf,inf,inf
?PRES,3.25,4.33,3.25,inf,6.5,inf,inf,inf
?PRES ~ PRES,1.44,13.0,13.0,6.5,inf,inf,inf,inf
MOD would,1.38,5.5,inf,11.0,inf,inf,inf,inf
MOD could ~ PAST,1.57,inf,inf,2.75,inf,inf,inf,inf
TO INF,1.5,inf,3.0,inf,inf,inf,inf,inf
?VB ~ PAST,1.5,9.0,9.0,9.0,inf,inf,inf,inf
?PRES ~ PAST,1.75,3.5,inf,7.0,inf,inf,inf,inf
FUT ~ PAST,1.5,inf,3.0,inf,inf,inf,inf,inf
?PAST ~ PRES PART,2.0,3.0,6.0,inf,inf,inf,inf,inf
PAST PROG,1.25,5.0,inf,inf,inf,inf,inf,inf
?VB,5.0,1.67,5.0,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,2.5,5.0,2.5,inf,inf,inf,inf,inf
FUT ~ PRES PERF,1.67,5.0,5.0,inf,inf,inf,inf,inf
PAST PERF ~ PRES PERF,2.0,4.0,4.0,inf,inf,inf,inf,inf
MOD would ~ PAST,1.33,inf,4.0,inf,inf,inf,inf,inf
?PAST did not ~ PAST,1.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,2.0,4.0,inf,4.0,inf,inf,inf,inf
PRES ~ PRES PROG,2.0,inf,2.0,inf,inf,inf,inf,inf
?TO INF ~ PAST,inf,3.0,3.0,inf,inf,3.0,inf,inf
MOD let ~ PAST,3.0,1.5,inf,inf,inf,inf,inf,inf
?PAST ~ PRES,1.5,3.0,inf,inf,inf,inf,inf,inf
?PAST ~ ?VB,1.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,1.5,3.0,inf,inf,inf,inf,inf,inf
MOD let,inf,inf,1.0,inf,inf,inf,inf,inf
FUT ~ MOD shall,1.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,1.5,inf,inf,3.0,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf
??PAST,2.0,2.0,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST ~ IMPV,1.0,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES,2.0,2.0,inf,inf,inf,inf,inf,inf
?VB ~ PRES PERF,1.0,inf,inf,inf,inf,inf,inf,inf
