eng_TAMsimp,0,1
PAST,0.97,0.03
PAST ~ PRES PART,0.97,0.03
PRES,0.94,0.06
PAST ~ PAST PERF,0.95,0.05
PRES PERF,0.96,0.04
PAST ~ PRES PERF,0.93,0.07
PAST ~ PRES,0.98,0.02
PAST ~ TO INF,0.99,0.01
PAST PERF,0.7,0.3
PRES ~ PRES PERF,0.89,0.11
PAST ~ PAST PROG,0.96,0.04
PRES PART,1.0,0.0
FUT ~ PRES,1.0,0.0
MOD would,1.0,0.0
MOD could ~ PAST,1.0,0.0
TO INF,1.0,0.0
FUT ~ PAST,1.0,0.0
MOD let ~ PAST,1.0,0.0
PRES ~ PRES PART,1.0,0.0
PRES ~ TO INF,1.0,0.0
PRES PART ~ PRES PERF,1.0,0.0
PAST PROG,1.0,0.0
PRES ~ PRES PROG,1.0,0.0
MOD would ~ PAST,1.0,0.0
IMPV ~ PAST,1.0,0.0
FUT ~ PRES PERF,1.0,0.0
PAST PERF ~ PRES PERF,1.0,0.0
PAST PERF ~ PRES PART,1.0,0.0
PRES PERF ~ TO INF,1.0,0.0
PAST ~ VB,1.0,0.0
MOD let,1.0,0.0
FUT ~ MOD shall,0.67,0.33
FUT,1.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0
MOD may ~ PAST,1.0,0.0
MOD can ~ PRES,1.0,0.0
PRES PERF PROG,1.0,0.0
MOD is to ~ PRES PERF,1.0,0.0
FUT ~ PRES PART,1.0,0.0
FUT ~ MOD would,1.0,0.0
PRES PART ~ TO INF,1.0,0.0
IMPV ~ PRES,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
MOD can ~ PAST,1.0,0.0
MOD could ~ MOD might,1.0,0.0
MOD might ~ PRES PERF,1.0,0.0
PAST ~ PAST PERF PROG,1.0,0.0
MOD let ~ MOD may,1.0,0.0
MOD must ~ PAST,1.0,0.0
MOD let ~ PRES,1.0,0.0
PAST PROG ~ PRES PERF PROG,1.0,0.0
PAST PROG ~ PRES PERF,0.0,1.0
PAST PROG ~ PRES PART,1.0,0.0
MOD let ~ PRES PART,1.0,0.0
PAST PERF ~ TO INF,1.0,0.0
MOD may,1.0,0.0
MOD would ~ PRES,1.0,0.0
MOD may ~ PRES,1.0,0.0
MOD should ~ TO INF,1.0,0.0
MOD should ~ PRES,1.0,0.0
MOD should ~ MOD would,1.0,0.0
MOD must ~ PRES,1.0,0.0
??VB ~ PAST,0.0,1.0
