,0,1
PAST,-0.15,0.15
PAST ~ PRES PART,0.07,-0.07
PRES,1.3,-1.3
PAST ~ PAST PERF,-0.98,0.98
PRES PERF,-0.0,0.0
PAST ~ PRES PERF,-0.0,0.0
PAST ~ PRES,-1.72,1.72
PAST ~ TO INF,-0.0,0.0
PAST PERF,0.57,-0.57
PRES ~ PRES PERF,0.39,-0.39
PAST ~ PAST PROG,-1.14,1.14
PRES PART,-0.0,0.0
FUT ~ PRES,-0.0,0.0
MOD would,-0.0,0.0
MOD could ~ PAST,-1.24,1.24
TO INF,-0.51,0.51
FUT ~ PAST,-0.0,0.0
MOD let ~ PAST,-0.0,0.0
PRES ~ PRES PART,-0.0,0.0
PRES ~ TO INF,-0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.0
PAST PROG,-0.0,0.0
PRES ~ PRES PROG,-0.0,0.0
MOD would ~ PAST,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
FUT ~ PRES PERF,-0.77,0.77
PAST PERF ~ PRES PERF,-0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0
PAST ~ VB,-0.0,0.0
MOD let,-0.0,0.0
FUT ~ MOD shall,-0.0,0.0
FUT,-0.0,0.0
PRES PERF ~ PRES PROG,-0.0,0.0
MOD may ~ PAST,-0.0,0.0
MOD can ~ PRES,-0.0,0.0
PRES PERF PROG,-0.0,0.0
MOD is to ~ PRES PERF,-0.0,0.0
FUT ~ PRES PART,-0.0,0.0
FUT ~ MOD would,-0.0,0.0
PRES PART ~ TO INF,-0.0,0.0
IMPV ~ PRES,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
MOD can ~ PAST,-0.0,0.0
MOD could ~ MOD might,-0.0,0.0
MOD might ~ PRES PERF,-0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0
MOD let ~ MOD may,-0.0,0.0
MOD must ~ PAST,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0
MOD let ~ PRES PART,-0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0
MOD may,-0.0,0.0
MOD would ~ PRES,-0.0,0.0
MOD may ~ PRES,-0.0,0.0
MOD should ~ TO INF,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
MOD should ~ MOD would,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
??VB ~ PAST,-0.0,0.0
