eng_TAMsimp,0,1
PRES,0.59,0.41
FUT,0.49,0.51
FUT ~ MOD shall,0.72,0.28
IMPV ~ MOD shall,0.31,0.69
PAST,0.51,0.49
FUT ~ PRES,0.59,0.41
MOD must ~ MOD shall,0.55,0.45
MOD is to ~ MOD shall,0.58,0.42
MOD can,0.55,0.45
MOD shall,0.69,0.31
MOD may,0.63,0.37
IMPV,0.42,0.58
MOD shall ~ PRES,0.7,0.3
MOD would,0.5,0.5
PAST ~ PRES,0.5,0.5
FUT ~ MOD may,0.62,0.38
PRES ~ PRES PART,0.52,0.48
PRES ~ PRES PERF,0.56,0.44
MOD should,0.66,0.34
MOD can ~ PRES,0.69,0.31
FUT ~ MOD lest,0.77,0.23
FUT ~ MOD can,0.48,0.52
PRES PERF,0.52,0.48
MOD may ~ MOD shall,0.77,0.23
PRES PART,0.71,0.29
IMPV ~ PRES,0.43,0.57
TO INF,0.43,0.57
MOD may ~ PRES,0.67,0.33
MOD can ~ MOD shall,0.5,0.5
MOD should ~ PRES,0.61,0.39
PRES ~ TO INF,0.44,0.56
FUT ~ MOD would,0.55,0.45
MOD could,0.84,0.16
MOD shall ~ TO INF,0.57,0.43
MOD must,0.5,0.5
MOD let,0.31,0.69
MOD can ~ MOD may,0.59,0.41
PAST ~ PRES PERF,0.3,0.7
MOD shall ~ MOD should,0.55,0.45
MOD would ~ PAST,0.76,0.24
FUT ~ TO INF,0.26,0.74
MOD would ~ PRES,0.48,0.52
FUT ~ IMPV,0.48,0.52
PAST ~ PRES PART,0.62,0.38
MOD shall ~ PRES PART,0.85,0.15
MOD should ~ TO INF,0.78,0.22
MOD must ~ PRES,0.83,0.17
PRES ~ PRES PROG,0.62,0.38
MOD lest ~ MOD may,0.56,0.44
MOD let ~ PRES,0.73,0.27
FUT ~ PRES PART,0.67,0.33
FUT ~ PAST,0.27,0.73
MOD shall ~ PAST,0.5,0.5
FUT ~ MOD let,0.14,0.86
MOD lest ~ PRES,0.36,0.64
MOD should ~ MOD would,0.43,0.57
IMPV ~ MOD may,0.46,0.54
MOD let ~ MOD shall,0.77,0.23
FUT ~ MOD should,0.5,0.5
HAB used to ~ PAST,0.67,0.33
MOD may ~ TO INF,0.42,0.58
IMPV ~ MOD must,0.5,0.5
IMPV ~ MOD let,0.55,0.45
IMPV ~ MOD can,1.0,0.0
MOD might,0.45,0.55
PAST ~ TO INF,0.82,0.18
MOD may ~ MOD must,0.9,0.1
PAST ~ PAST PERF,0.7,0.3
MOD is to,0.8,0.2
MOD was to ~ PAST,0.56,0.44
MOD can ~ MOD should,0.5,0.5
MOD can ~ MOD could,0.75,0.25
MOD lest,0.29,0.71
PAST PERF,0.71,0.29
FUT ~ MOD must,0.57,0.43
MOD should ~ MOD was to,0.86,0.14
MOD might ~ MOD would,0.67,0.33
MOD could ~ PAST,1.0,0.0
FUT ~ PRES PERF,0.33,0.67
PAST ~ PAST PROG,0.67,0.33
FUT going-to ~ MOD shall,0.83,0.17
MOD lest ~ MOD might,0.67,0.33
MOD shall ~ MOD would,0.67,0.33
