eng_TAMsimp,Way0,WayX,MSyn
PAST,0.55,0.45,0.0
PAST ~ PRES PART,0.91,0.09,0.0
PAST ~ PAST PERF,0.5,0.5,0.0
PRES PERF,0.76,0.24,0.0
PRES,0.8,0.2,0.0
?PAST ~ PAST,0.92,0.08,0.0
PAST ~ PRES PERF,0.87,0.13,0.0
?PAST,0.82,0.18,0.0
PAST ~ PRES,0.83,0.17,0.0
PAST ~ TO INF,0.87,0.13,0.0
PAST PERF,0.29,0.71,0.0
PRES ~ PRES PERF,0.8,0.2,0.0
PAST ~ PAST PROG,0.63,0.37,0.0
PRES PART,0.96,0.04,0.0
FUT ~ PRES,0.6,0.4,0.0
?PRES,0.85,0.15,0.0
?PRES ~ PRES,0.85,0.15,0.0
MOD would,0.36,0.64,0.0
MOD could ~ PAST,0.45,0.55,0.0
TO INF,1.0,0.0,0.0
?VB ~ PAST,1.0,0.0,0.0
?PRES ~ PAST,0.86,0.14,0.0
FUT ~ PAST,0.5,0.5,0.0
?PAST ~ PRES PART,0.83,0.17,0.0
PAST PROG,0.4,0.2,0.4
?VB,1.0,0.0,0.0
PRES PART ~ PRES PERF,0.8,0.2,0.0
FUT ~ PRES PERF,1.0,0.0,0.0
PAST PERF ~ PRES PERF,0.75,0.25,0.0
MOD would ~ PAST,0.75,0.25,0.0
?PAST did not ~ PAST,1.0,0.0,0.0
PRES ~ PRES PART,1.0,0.0,0.0
PRES ~ PRES PROG,1.0,0.0,0.0
?TO INF ~ PAST,1.0,0.0,0.0
MOD let ~ PAST,1.0,0.0,0.0
?PAST ~ PRES,0.67,0.33,0.0
?PAST ~ ?VB,1.0,0.0,0.0
PRES ~ TO INF,1.0,0.0,0.0
IMPV ~ PAST,0.67,0.33,0.0
MOD let,1.0,0.0,0.0
FUT ~ MOD shall,0.33,0.67,0.0
PAST PERF ~ PRES PART,1.0,0.0,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0
??PAST,1.0,0.0,0.0
?PRES PERF ~ PRES,1.0,0.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0,0.0
?PAST ~ IMPV,1.0,0.0,0.0
?VB ~ PRES,1.0,0.0,0.0
?VB ~ PRES PERF,1.0,0.0,0.0
FUT,1.0,0.0,0.0
?PRES ~ ?PRES PERF,1.0,0.0,0.0
?PRES ~ PRES PERF,0.5,0.5,0.0
?FUT ~ PAST,1.0,0.0,0.0
?PRES PERF,1.0,0.0,0.0
MOD can ~ PRES,1.0,0.0,0.0
??VB ~ ?PAST question,1.0,0.0,0.0
MOD may ~ PAST,1.0,0.0,0.0
?PRES ~ PRES PART,1.0,0.0,0.0
?PAST wh-question,1.0,0.0,0.0
?PAST wh-question ~ ?PRES,1.0,0.0,0.0
?PAST question,1.0,0.0,0.0
?PAST do-support ~ PAST,1.0,0.0,0.0
?PAST wh-question ~ MOD let,1.0,0.0,0.0
?PAST did not ~ TO INF,1.0,0.0,0.0
?PAST wh-question ~ PAST,1.0,0.0,0.0
?PAST wh-question ~ TO INF,0.0,1.0,0.0
?PAST ~ ?TO INF,1.0,0.0,0.0
?MOD would ~ PAST,1.0,0.0,0.0
?PAST did not ~ ?PAST question,1.0,0.0,0.0
?PAST PERF ~ PAST PERF,1.0,0.0,0.0
?MOD would,1.0,0.0,0.0
?MOD let ~ PAST,1.0,0.0,0.0
?FUT ~ PRES PART,1.0,0.0,0.0
?FUT ~ PRES,1.0,0.0,0.0
?FUT ~ ?PRES,0.0,1.0,0.0
??VB ~ PRES PERF,1.0,0.0,0.0
??VB ~ PRES,1.0,0.0,0.0
??VB ~ PAST,1.0,0.0,0.0
??PRES ~ PAST,1.0,0.0,0.0
??PAST ~ PAST,1.0,0.0,0.0
??PAST ~ ?TO INF,1.0,0.0,0.0
??PAST ~ ?PAST,1.0,0.0,0.0
PRES PERF PROG,1.0,0.0,0.0
MOD let ~ PRES PART,1.0,0.0,0.0
PRES PART ~ TO INF,1.0,0.0,0.0
?PAST ~ PAST PERF,1.0,0.0,0.0
MOD may,1.0,0.0,0.0
MOD let ~ MOD may,1.0,0.0,0.0
MOD is to ~ PRES PERF,1.0,0.0,0.0
MOD may ~ PRES,1.0,0.0,0.0
MOD could ~ MOD might,1.0,0.0,0.0
IMPV ~ PRES PART,1.0,0.0,0.0
IMPV ~ PRES,1.0,0.0,0.0
MOD might ~ PRES PERF,1.0,0.0,0.0
MOD must ~ PAST,1.0,0.0,0.0
MOD must ~ PRES,0.0,1.0,0.0
MOD should ~ MOD would,0.0,1.0,0.0
FUT ~ MOD would,1.0,0.0,0.0
MOD should ~ PRES,1.0,0.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0
MOD would ~ PRES,0.0,1.0,0.0
?TO INF ~ PRES,1.0,0.0,0.0
?TO INF,1.0,0.0,0.0
?PRES ~ TO INF,1.0,0.0,0.0
PAST PERF ~ TO INF,1.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,1.0,0.0
?PRES ~ FUT,1.0,0.0,0.0
?PRES ~ ?VB,1.0,0.0,0.0
?PRES PERF ~ PAST,1.0,0.0,0.0
MOD let ~ PRES,1.0,0.0,0.0
?PAST ~ PRES PERF,1.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,1.0,0.0,0.0
PAST ~ PAST PERF PROG,0.0,1.0,0.0
PAST PROG ~ PRES PERF,0.0,1.0,0.0
